 Term , OBIS Required , Term's DarwinCore Class , Event Table , Occurrence Table (Core/Extension) , eMoF Table , DNA Table  
dynamicProperties,recommended,record,x,x/x, , 
informationWithheld,optional,record,x,x/x, , 
institutionCode,optional,record,x,x/x, , 
institutionID,optional,record,x,x/x, , 
language,recommended,record,x,x/x, , 
license,strongly recommended,record,x,x/x, , 
modified,recommended,record,x,x/x, , 
ownerInstitutionCode,optional,record,x,x/x, , 
references,recommended,record,x,x/x, , 
rightsHolder,recommended,record,x,x/x, , 
type,strongly recommended,record,x,x/x,x, 
acceptedNameUsage,recommended,taxon, ,x/x, , 
acceptedNameUsageID,recommended,taxon, ,x/x, , 
higherClassification,recommended,taxon, ,x/x, , 
infraspecificEpithet,recommended,taxon, ,x/x, , 
nameAccordingToID,recommended,taxon, ,x/x, , 
namePublishedInID,optional,taxon, ,x/x, , 
namePublishedInYear,optional,taxon, ,x/x, , 
nomenclaturalCode,optional,taxon, ,x/x, , 
nomenclaturalStatus,optional,taxon, ,x/x, , 
verbatimIdentification,recommended,identification,,x/x,,
originalNameUsage,recommended,taxon, ,x/x, , 
originalNameUsageID,recommended,taxon, ,x/x, , 
parentNameUsage,recommended,taxon, ,x/x, , 
parentNameUsageID,recommended,taxon, ,x/x, , 
phylum,recommended,taxon, ,x/x, , 
scientificNameAuthorship,recommended,taxon, ,x/x, , 
specificEpithet,recommended,taxon, ,x/x, , 
subgenus,recommended,taxon, ,x/x, , 
taxonConceptID,optional,taxon, ,x/x, , 
taxonID,optional,taxon, ,x/x, , 
taxonomicStatus,optional,taxon, ,x/x, , 
taxonRank,strongly recommended,taxon, ,x/x, , 
taxonRemarks,recommended,taxon, ,x/x, , 
verbatimTaxonRank,recommended,taxon, ,x/x, , 
vernacularName,recommended,taxon, ,x/x, , 
class,recommended,taxon, ,x/x, , 
family,recommended,taxon, ,x/x, , 
genus,strongly recommended,taxon, ,x/x, , 
kingdom,strongly recommended,taxon, ,x/x, , 
order,strongly recommended,taxon, ,x/x, , 
